"Month","Year","Amount","Description","Category","Classify","Expense type","","","",""
"01","2025","  15.933.334 ","Mua đồ hành chính","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","",""
"01","2025","  2.860.000 ","bãi xe nv","3. Chi phí quản lý doanh nghiệp","Thuê xe, bãi xe","Định phí","","","",""
"01","2025","  18.494.808 ","điện+nước+wf","3. Chi phí quản lý doanh nghiệp","Điện, nước, wifi","Biến phí","","","",""
"01","2025","  17.235.000 ","Cp tiếp khách","6. Chi phí khác","Tiếp khách ngoài","Biến phí","","","",""
"01","2025","  58.291.333 ","tặng phẩm khách","2. Chi phí bán hàng","Tặng phẩm khách","Biến phí","","","",""
"01","2025","  55.000.000 ","MKT chạy quảng cáo","2. Chi phí bán hàng","Marketing chạy quảng cáo","Biến phí","","","",""
"01","2025","  15.180.000 ","Cp sửa chữa, bảo trì","3. Chi phí quản lý doanh nghiệp","Bảo trì - sửa chữa - khử khuẩn","Biến phí","","","",""
"01","2025","","Cộng tác viên","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","",""
"01","2025","  10.533.123 ","Thưởng gián tiếp","2. Chi phí bán hàng","Thưởng gián tiếp","Biến phí","","","",""
"01","2025","","Đi trường","2. Chi phí bán hàng","Đi trường","Biến phí","","","",""
"01","2025","  17.210.667 ","Hành chính MKT","2. Chi phí bán hàng","Hành chính MKT","Biến phí","","","",""
"01","2025","  6.000.000 ","Hoa hồng giới thiệu","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","",""
"01","2025","  -   ","TikTok","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","",""
"01","2025","  -   ","SEO","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","",""
"01","2025","  532.648.623 ","% của NV","4. Chi phí nhân sự","Thưởng KPI","Biến phí","","","",""
"01","2025","  6.310.704 ","Phí cà thẻ","6. Chi phí khác","Phí cà thẻ","Biến phí","","","",""
"01","2025","  5.756.500 ","Tiếp khách pK(grab, chi phí khác)","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","",""
"01","2025","  470.747.438 ","Lương","4. Chi phí nhân sự","Lương cố định bộ phận văn phòng","Định phí","","","",""
"01","2025","  128.678.500 ","Chi phí MB","3. Chi phí quản lý doanh nghiệp","Thuê mặt bằng","Định phí","","","",""
"01","2025","  27.979.000 ","Bảo hiểm","4. Chi phí nhân sự","Bảo hiểm","Định phí","","","",""
"01","2025","  25.000.000 ","Thuê bằng bs+bằng y tá Châu","3. Chi phí quản lý doanh nghiệp","Thuê bằng bác sĩ","Định phí","","","",""
"01","2025","  15.883.333 ","chi phí cho quận, phường","5. Chi phí thuế và lãi vay","Phường, quận","Biến phí","","","",""
"01","2025","  3.508.500 ","thuế","5. Chi phí thuế và lãi vay","Thuế GTGT/ TNCN/ TNDN/ môn bài/ lệ phí..nộp NSNN","Biến phí","","","",""
"01","2025","  699.000 ","Mũi khoan Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"01","2025","  8.426.000 ","nút Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"01","2025","  983.333 ","composite","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"01","2025","  440.000 ","Giấy phòng điều trị","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","",""
"01","2025","  9.624.000 ","Tiền thun Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"01","2025","  1.273.000 ","Thuốc + nước muối","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"01","2025","  895.000 ","tiền thuốc tê xanh","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"01","2025","  1.400.000 ","tiền cao su đặc","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"01","2025","  7.218.000 ","thun chuỗi Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"01","2025","  450.000 ","hộp đựng mẫu hàm(Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"01","2025","  200.000 ","ép danh mục thuốc chống sốc","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"01","2025","  27.623.000 ","công nợ Thanh Ngọc","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"01","2025","  13.000.000 ","vật tư","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"01","2025","  50.000.000 ","Quỹ thưởng","6. Chi phí khác","Thưởng tổng cuối năm","Định phí","","","",""
"01","2025","","Dự trù phát sinh","6. Chi phí khác","Quỹ dự phòng","Biến phí","","","",""
"01","2025","  12.211.250 ","Mua sắm tài sản","6. Chi phí khác","Mua sắm tài sản","Biến phí","","","",""
"01","2025","  2.859.333 ","Thưởng nóng+liên hoan","4. Chi phí nhân sự","Thưởng nóng, liên hoan","Biến phí","","","",""
"01","2025","  -   ","Giới thiệu nhân sự","6. Chi phí khác","Giới thiệu nhân sự","Biến phí","","","",""
"01","2025","  2.413.333 ","đào tạo nhân sự","4. Chi phí nhân sự","Đào tạo nhân sự","Biến phí","","","",""
"02","2025","  33.867.335 ","Mua đồ hành chính","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","",""
"02","2025","  2.666.667 ","bãi xe nv","3. Chi phí quản lý doanh nghiệp","Thuê xe, bãi xe","Định phí","","","",""
"02","2025","  14.738.973 ","điện+nước+wf","3. Chi phí quản lý doanh nghiệp","Điện, nước, wifi","Biến phí","","","",""
"02","2025","  24.224.999 ","Cp tiếp khách","6. Chi phí khác","Tiếp khách ngoài","Biến phí","","","",""
"02","2025","  48.418.667 ","tặng phẩm khách","2. Chi phí bán hàng","Tặng phẩm khách","Biến phí","","","",""
"02","2025","  85.000.000 ","MKT chạy quảng cáo","2. Chi phí bán hàng","Marketing chạy quảng cáo","Biến phí","","","",""
"02","2025","  18.293.333 ","Cp sửa chữa, bảo trì","3. Chi phí quản lý doanh nghiệp","Bảo trì - sửa chữa - khử khuẩn","Biến phí","","","",""
"02","2025","","Cộng tác viên","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","",""
"02","2025","  7.788.727 ","Thưởng gián tiếp","2. Chi phí bán hàng","Thưởng gián tiếp","Biến phí","","","",""
"02","2025","","Đi trường","2. Chi phí bán hàng","Đi trường","Biến phí","","","",""
"02","2025","  8.733.333 ","Hành chính MKT","2. Chi phí bán hàng","Hành chính MKT","Biến phí","","","",""
"02","2025","  12.000.000 ","Hoa hồng giới thiệu","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","",""
"02","2025","","TikTok","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","",""
"02","2025","","SEO","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","",""
"02","2025","  523.662.333 ","% của NV","4. Chi phí nhân sự","Thưởng KPI","Biến phí","","","",""
"02","2025","  5.206.193 ","Phí cà thẻ","6. Chi phí khác","Phí cà thẻ","Biến phí","","","",""
"02","2025","  6.142.000 ","Tiếp khách pK(grab, chi phí khác)","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","",""
"02","2025","  442.482.508 ","Lương","4. Chi phí nhân sự","Lương cố định bộ phận văn phòng","Định phí","","","",""
"02","2025","  127.714.660 ","Chi phí MB","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  30.006.613 ","Bảo hiểm","4. Chi phí nhân sự","Bảo hiểm","Định phí","","","",""
"02","2025","  25.000.000 ","Thuê bằng bs+bằng y tá Châu","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  10.666.667 ","chi phí cho quận, phường","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","","thuế","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  6.400.000 ","mua kin","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  3.500.000 ","dây cung","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  5.116.000 ","Khẩu trang + thuốc giảm đau + mua thuốc chống sốc","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  3.600.000 ","dây cung loop Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  9.624.000 ","Thun liên hàm Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  1.918.000 ","nút dán nâng khớp+ lò xo(Teennie)","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  30.830.000 ","công nợ morelli T1/25","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  19.648.000 ","công nợ Thanh Ngọc T1/25","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  17.800.000 ","Vật liệu làm máng","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  814.000 ","sáp nha khoa","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  1.337.000 ","mũi đốt nướu","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","  34.800.000 ","khí cụ T1+2","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"02","2025","","Quỹ thưởng","6. Chi phí khác","Thưởng tổng cuối năm","Định phí","","","",""
"02","2025","","Dự trù phát sinh","6. Chi phí khác","Quỹ dự phòng","Biến phí","","","",""
"02","2025","  11.953.250 ","Mua sắm tài sản","6. Chi phí khác","Mua sắm tài sản","Biến phí","","","",""
"02","2025","  15.596.668 ","Thưởng nóng+liên hoan","4. Chi phí nhân sự","Thưởng nóng, liên hoan","Biến phí","","","",""
"02","2025","  -   ","Giới thiệu nhân sự","6. Chi phí khác","Giới thiệu nhân sự","Biến phí","","","",""
"02","2025","  666.667 ","đào tạo nhân sự","4. Chi phí nhân sự","Đào tạo nhân sự","Biến phí","","","",""
"03","2025","  65.050.019 ","Mua đồ hành chính","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","",""
"03","2025","  2.338.000 ","bãi xe nv","3. Chi phí quản lý doanh nghiệp","Thuê xe, bãi xe","Định phí","","","",""
"03","2025","  15.760.186 ","điện+nước+wf","3. Chi phí quản lý doanh nghiệp","Điện, nước, wifi","Biến phí","","","",""
"03","2025","  25.979.668 ","Cp tiếp khách","6. Chi phí khác","Tiếp khách ngoài","Biến phí","","","",""
"03","2025","  43.588.667 ","tặng phẩm khách","2. Chi phí bán hàng","Tặng phẩm khách","Biến phí","","","",""
"03","2025","  128.000.000 ","MKT chạy quảng cáo","2. Chi phí bán hàng","Marketing chạy quảng cáo","Biến phí","","","",""
"03","2025","  28.668.334 ","Cp sửa chữa, bảo trì","3. Chi phí quản lý doanh nghiệp","Bảo trì - sửa chữa - khử khuẩn","Biến phí","","","",""
"03","2025","","Cộng tác viên","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","",""
"03","2025","  12.821.541 ","Thưởng gián tiếp","2. Chi phí bán hàng","Thưởng gián tiếp","Biến phí","","","",""
"03","2025","  6.544.000 ","Đi trường","2. Chi phí bán hàng","Đi trường","Biến phí","","","",""
"03","2025","  68.237.334 ","Hành chính MKT","2. Chi phí bán hàng","Hành chính MKT","Biến phí","","","",""
"03","2025","  13.000.000 ","Hoa hồng giới thiệu","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","",""
"03","2025","  -   ","TikTok","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","",""
"03","2025","","SEO","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","",""
"03","2025","  681.943.394 ","% của NV","4. Chi phí nhân sự","Thưởng KPI","Biến phí","","","",""
"03","2025","  5.837.797 ","Phí cà thẻ","6. Chi phí khác","Phí cà thẻ","Biến phí","","","",""
"03","2025","  6.623.000 ","Tiếp khách pK(grab, chi phí khác)","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","",""
"03","2025","  484.209.004 ","Lương","4. Chi phí nhân sự","Lương cố định bộ phận văn phòng","Định phí","","","",""
"03","2025","  128.489.333 ","Chi phí MB","3. Chi phí quản lý doanh nghiệp","Thuê mặt bằng","Định phí","","","",""
"03","2025","  28.938.240 ","Bảo hiểm","4. Chi phí nhân sự","Bảo hiểm","Định phí","","","",""
"03","2025","  25.000.000 ","Thuê bằng bs+bằng y tá Châu","3. Chi phí quản lý doanh nghiệp","Thuê bằng bác sĩ","Định phí","","","",""
"03","2025","  12.000.000 ","chi phí cho quận, phường","5. Chi phí thuế và lãi vay","Phường, quận","Biến phí","","","",""
"03","2025","","thuế","5. Chi phí thuế và lãi vay","Thuế GTGT/ TNCN/ TNDN/ môn bài/ lệ phí..nộp NSNN","Biến phí","","","",""
"03","2025","  31.877.000 ","vật tư keo gắn mc Teennie,mua ốc siết ghế Teennie,đầu CVR","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"03","2025","  28.857.000 ","vit chỉnh nha t2/25,vật liệu Teennie(mắc cài r6, nâng khớp, lò xo..)","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"03","2025","  23.100.000 ","thanh toán tiền thuốc tê,Kin","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"03","2025","  36.750.000 ","Mua mắc cài","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"03","2025","  23.436.000 ","mua kềm Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"03","2025","  3.200.000 ","tủ cực tím","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"03","2025","  100.000.000 ","Quỹ thưởng","6. Chi phí khác","Thưởng tổng cuối năm","Định phí","","","",""
"03","2025","","Dự trù phát sinh","6. Chi phí khác","Quỹ dự phòng","Biến phí","","","",""
"03","2025","  45.629.917 ","Mua sắm tài sản","6. Chi phí khác","Mua sắm tài sản","Biến phí","","","",""
"03","2025","  17.762.667 ","Thưởng nóng+liên hoan","4. Chi phí nhân sự","Thưởng nóng, liên hoan","Biến phí","","","",""
"03","2025","  -   ","Giới thiệu nhân sự","6. Chi phí khác","Giới thiệu nhân sự","Biến phí","","","",""
"03","2025","  1.166.667 ","đào tạo nhân sự","4. Chi phí nhân sự","Đào tạo nhân sự","Biến phí","","","",""
"04","2025","  20.205.669 ","Mua đồ hành chính","3. Chi phí quản lý doanh nghiệp","Hành chính","Biến phí","","","",""
"04","2025","  2.610.667 ","bãi xe nv","3. Chi phí quản lý doanh nghiệp","Thuê xe, bãi xe","Định phí","","","",""
"04","2025","  22.915.694 ","điện+nước+wf","3. Chi phí quản lý doanh nghiệp","Điện, nước, wifi","Biến phí","","","",""
"04","2025","  16.074.013 ","Cp tiếp khách","6. Chi phí khác","Tiếp khách ngoài","Biến phí","","","",""
"04","2025","  47.531.000 ","tặng phẩm khách","2. Chi phí bán hàng","Tặng phẩm khách","Biến phí","","","",""
"04","2025","  129.000.000 ","MKT chạy quảng cáo","2. Chi phí bán hàng","Marketing chạy quảng cáo","Biến phí","","","",""
"04","2025","  35.223.200 ","Cp sửa chữa, bảo trì","3. Chi phí quản lý doanh nghiệp","Bảo trì - sửa chữa - khử khuẩn","Biến phí","","","",""
"04","2025","","Cộng tác viên","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","",""
"04","2025","  10.291.074 ","Thưởng gián tiếp","2. Chi phí bán hàng","Thưởng gián tiếp","Biến phí","","","",""
"04","2025","  1.283.000 ","Đi trường","2. Chi phí bán hàng","Đi trường","Biến phí","","","",""
"04","2025","  18.036.734 ","Hành chính MKT","2. Chi phí bán hàng","Hành chính MKT","Biến phí","","","",""
"04","2025","  9.000.000 ","Hoa hồng giới thiệu","2. Chi phí bán hàng","Chi phí referral/Hoa hồng giới thiệu","Biến phí","","","",""
"04","2025","  -   ","TikTok","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","",""
"04","2025","  -   ","SEO","2. Chi phí bán hàng","Chi phí quảng cáo Meta/Google/Tiktok","Biến phí","","","",""
"04","2025","  614.242.726 ","% của NV","4. Chi phí nhân sự","Thưởng KPI","Biến phí","","","",""
"04","2025","  6.790.734 ","Phí cà thẻ","6. Chi phí khác","Phí cà thẻ","Biến phí","","","",""
"04","2025","  4.473.000 ","Tiếp khách pK(grab, chi phí khác)","6. Chi phí khác","Tiếp khách phòng khám","Biến phí","","","",""
"04","2025","  434.557.392 ","Lương","4. Chi phí nhân sự","Lương cố định bộ phận văn phòng","Định phí","","","",""
"04","2025","  129.913.020 ","Chi phí MB","3. Chi phí quản lý doanh nghiệp","Thuê mặt bằng","Định phí","","","",""
"04","2025","  29.013.360 ","Bảo hiểm","4. Chi phí nhân sự","Bảo hiểm","Định phí","","","",""
"04","2025","  25.000.000 ","Thuê bằng bs+bằng y tá Châu","3. Chi phí quản lý doanh nghiệp","Thuê bằng bác sĩ","Định phí","","","",""
"04","2025","  14.166.667 ","chi phí cho quận, phường","5. Chi phí thuế và lãi vay","Phường, quận","Biến phí","","","",""
"04","2025","  -   ","thuế","5. Chi phí thuế và lãi vay","Thuế GTGT/ TNCN/ TNDN/ môn bài/ lệ phí..nộp NSNN","Biến phí","","","",""
"04","2025","  16.370.667 ","nước ngâm dụng cụ ,thuốc giảm đau,composite lỏng,kiềm cắt thạch cao,mẫu hàm tư vấn Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  471.000 ","nước ngâm dụng cụ ,thuốc giảm đau,composite lỏng,kiềm cắt thạch cao,mẫu hàm tư vấn Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  138.000 ","Tiền mũi khoan Endoz Teeniee","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  1.240.000 ","mua mắc cài mẫu(Teennie)","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  21.735.000 ","Nhựa in hàm duy trì loại cũ","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  400.000 ","Thanh Ngọc T2","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  12.600.000 ","dây cung Teennie","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  7.619.000 ","vít chỉnh nha T3","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
"04","2025","  25.263.000 ","vật liệu","1. Giá vốn hàng bán","Vật tư tiêu hao","Biến phí","","","",""
