 DIỄN GIẢI ,,, KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH , KẾ HOẠCH 
,,, T1 , T2 , T3 , T4 , T5 , T6 , T7 , T8 , T9 , T10 , T11 , T12 
 Doanh thu chưa thực hiện (Khách nợ) ,,,,,,,,,,,,,,
 DÒNG TIỀN VÀO ,,  36.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 
 Tiền hiện có ,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
  1 , Góp vốn ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 Doanh thu ,,,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 ,  3.000.000.000 
  1 , Doanh thu khách Cũ ,,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 ,  2.000.000.000 
  2 , Doanh thu khách Mới ,,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 ,  1.000.000.000 
 DÒNG TIỀN RA ,,  30.204.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 ,  2.517.000.000 
,,,,,,,,,,,,,,
 Định phí ,,,  775.000.000 ,  775.000.000 ,  775.000.000 ,  775.000.000 ,  775.000.000 ,  775.000.000 ,  775.000.000 ,  775.000.000 ,  775.000.000 ,  775.000.000 ,  775.000.000 ,  775.000.000 
  1 , Chi phí nhân sự ,,  500.000.000 ,  500.000.000 ,  500.000.000 ,  500.000.000 ,  500.000.000 ,  500.000.000 ,  500.000.000 ,  500.000.000 ,  500.000.000 ,  500.000.000 ,  500.000.000 ,  500.000.000 
  2 ," Mặt bằng, thuê xe, bãi xe ",,  200.000.000 ,  200.000.000 ,  200.000.000 ,  200.000.000 ,  200.000.000 ,  200.000.000 ,  200.000.000 ,  200.000.000 ,  200.000.000 ,  200.000.000 ,  200.000.000 ,  200.000.000 
  3 , Thưởng tổng cuối năm ,,  75.000.000 ,  75.000.000 ,  75.000.000 ,  75.000.000 ,  75.000.000 ,  75.000.000 ,  75.000.000 ,  75.000.000 ,  75.000.000 ,  75.000.000 ,  75.000.000 ,  75.000.000 
 Biến phí ,,,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 
, Giá vốn nguyên vật liệu ,,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 
  1 ," Các vật tư tiêu hao, thuốc ",,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 
  2 , Lab răng sứ ,,,,,,,,,,,,,
, Chi phí kinh doanh ,,  380.000.000 ,  380.000.000 ,  380.000.000 ,  380.000.000 ,  380.000.000 ,  380.000.000 ,  380.000.000 ,  380.000.000 ,  380.000.000 ,  380.000.000 ,  380.000.000 ,  380.000.000 
  1 , Chi phí quảng cáo ,,  300.000.000 ,  300.000.000 ,  300.000.000 ,  300.000.000 ,  300.000.000 ,  300.000.000 ,  300.000.000 ,  300.000.000 ,  300.000.000 ,  300.000.000 ,  300.000.000 ,  300.000.000 
  2 , Hoa hồng giới thiệu ,,,,,,,,,,,,,
  3 , MKT Offline đi trường ,,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 
  4 , Hành chính marketing ,,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 
  5 , Thưởng gián tiếp ,,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 
, Chi phí vận hành ,,  92.000.000 ,  92.000.000 ,  92.000.000 ,  92.000.000 ,  92.000.000 ,  92.000.000 ,  92.000.000 ,  92.000.000 ,  92.000.000 ,  92.000.000 ,  92.000.000 ,  92.000.000 
  1 ," Điện, nước, wifi ",,  22.000.000 ,  22.000.000 ,  22.000.000 ,  22.000.000 ,  22.000.000 ,  22.000.000 ,  22.000.000 ,  22.000.000 ,  22.000.000 ,  22.000.000 ,  22.000.000 ,  22.000.000 
  2 , Hành chính chung ,,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 
  3 ," Bảo trì, sửa chữa, khử khuẩn ",,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 
, Chi phí khác ,,  110.000.000 ,  110.000.000 ,  110.000.000 ,  110.000.000 ,  110.000.000 ,  110.000.000 ,  110.000.000 ,  110.000.000 ,  110.000.000 ,  110.000.000 ,  110.000.000 ,  110.000.000 
  1 , Phí cà thẻ ,,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 ,  10.000.000 
  2 , Quỹ dự phòng ,,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 ,  50.000.000 
  3 , Giao lưu khách ngoài ,,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 
  4 , Tiếp khách phòng khám ,,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 
, Chi phí nhân sự ,,  830.000.000 ,  830.000.000 ,  830.000.000 ,  830.000.000 ,  830.000.000 ,  830.000.000 ,  830.000.000 ,  830.000.000 ,  830.000.000 ,  830.000.000 ,  830.000.000 ,  830.000.000 
  1 , KPI ,,  800.000.000 ,  800.000.000 ,  800.000.000 ,  800.000.000 ,  800.000.000 ,  800.000.000 ,  800.000.000 ,  800.000.000 ,  800.000.000 ,  800.000.000 ,  800.000.000 ,  800.000.000 
  2 ," Thưởng nóng, liên hoan, đào tạo, giới thiệu ",,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 ,  30.000.000 
," Thuế, phí ",,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 
  1 ," Phường, quận ",,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 ,  20.000.000 
  2 , Thuế nhà nước ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
, Chi phí đầu tư ,,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 
  1 , Mua sắm tài sản ,,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 
 TỔNG KẾT DÒNG TIỀN CUỐI KỲ ,,  5.796.000.000 ,  483.000.000 ,  483.000.000 ,  483.000.000 ,  483.000.000 ,  483.000.000 ,  483.000.000 ,  483.000.000 ,  483.000.000 ,  483.000.000 ,  483.000.000 ,  483.000.000 ,  483.000.000 
 TỶ TRỌNG ,,,,,,,,,,,,,,
 CÁC KHOẢN PHÍ ,,,,,,,,,,,,,,
 Định phí ,,,  775.000.000 ,  775.000.000 ,  775.000.000 ,  775.000.000 ,  775.000.000 ,  775.000.000 ,  775.000.000 ,  775.000.000 ,  775.000.000 ,  775.000.000 ,  775.000.000 ,  775.000.000 
 Biến phí ,,,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 ,  1.742.000.000 
, Giá vốn nguyên vật liệu ,,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 ,  210.000.000 
, Chi phí kinh doanh ,,  380.000.000 ,  380.000.000 ,  380.000.000 ,  380.000.000 ,  380.000.000 ,  380.000.000 ,  380.000.000 ,  380.000.000 ,  380.000.000 ,  380.000.000 ,  380.000.000 ,  380.000.000 
, Chi phí vận hành ,,  92.000.000 ,  92.000.000 ,  92.000.000 ,  92.000.000 ,  92.000.000 ,  92.000.000 ,  92.000.000 ,  92.000.000 ,  92.000.000 ,  92.000.000 ,  92.000.000 ,  92.000.000 
, Chi phí khác ,,  110.000.000 ,  110.000.000 ,  110.000.000 ,  110.000.000 ,  110.000.000 ,  110.000.000 ,  110.000.000 ,  110.000.000 ,  110.000.000 ,  110.000.000 ,  110.000.000 ,  110.000.000 
, Chi phí nhân sự ,,  830.000.000 ,  830.000.000 ,  830.000.000 ,  830.000.000 ,  830.000.000 ,  830.000.000 ,  830.000.000 ,  830.000.000 ,  830.000.000 ,  830.000.000 ,  830.000.000 ,  830.000.000 
, Chi phí đầu tư ,,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 ,  100.000.000 
 Tên cổ đông ,, % GÓP VỐN ,,,,,,,,,,,,
 A. Quang ,,,,,,,, - ,,,,,,
 A. Dũng ,,,,,,,, - ,,,,,,
 A. Hiền ,,,,,,,,,,,,,,
 A. Huỳnh Phương ,,,,,,,, - ,,,,,,
 A. Tiến Luật ,,,,,,,, - ,,,,,,
 A. Ngô Kiến Huy ,,,,,,,, - ,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,, x ,